"year","month","day","data","median","LB","UB"
2022,5,26,0,0,NA,NA
2022,6,2,1,1,NA,NA
2022,6,9,6,6,NA,NA
2022,6,16,12,12,NA,NA
2022,6,23,44,44,NA,NA
2022,6,30,142,142,NA,NA
2022,7,7,179,179,NA,NA
2022,7,14,208,208,NA,NA
2022,7,21,386,386,NA,NA
2022,7,28,743,743,NA,NA
2022,8,4,863,863,NA,NA
2022,8,11,866,983,757.395932588658,1208.60406741134
2022,8,18,1022,1103,598.533969267794,1607.46603073221
2022,8,25,725,1223,378.866874684106,2067.13312531589
2022,9,1,774,1343,107.315632138918,2578.68436786108
