"year","month","day","data","median","LB","UB"
2022,10,6,1821,1821,NA,NA
2022,10,13,2232,2232,NA,NA
2022,10,20,1340,1340,NA,NA
2022,10,27,1320,1320,NA,NA
2022,11,3,1111,1111,NA,NA
2022,11,10,1156,1156,NA,NA
2022,11,17,707,707,NA,NA
2022,11,24,938,938,NA,NA
2022,12,1,564,564,NA,NA
2022,12,8,308,308,NA,NA
2022,12,15,477,477,NA,NA
2022,12,22,527,31.7589075096894,0,570.928167717758
2022,12,29,349,68.1145046516958,0,619.712255119089
2023,1,5,308,0,0,437.40604531332
2023,1,12,338,0,0,416.673138844851
