"year","month","day","data","median","LB","UB"
2022,6,16,58,58,NA,NA
2022,6,23,52,52,NA,NA
2022,6,30,88,88,NA,NA
2022,7,7,164,164,NA,NA
2022,7,14,142,142,NA,NA
2022,7,21,122,122,NA,NA
2022,7,28,154,154,NA,NA
2022,8,4,102,102,NA,NA
2022,8,11,109,109,NA,NA
2022,8,18,60,110.111111111111,32.2136718974616,188.008550324761
2022,8,25,61,110.111111111111,32.2136718974616,188.008550324761
2022,9,1,32,110.111111111111,32.2136718974616,188.008550324761
2022,9,8,42,110.111111111111,32.2136718974616,188.008550324761
