"year","month","day","data","median","LB","UB"
2022,5,12,0,0,NA,NA
2022,5,19,10,10,NA,NA
2022,5,26,34,34,NA,NA
2022,6,2,69,69,NA,NA
2022,6,9,150,150,NA,NA
2022,6,16,258,258,NA,NA
2022,6,23,353,353,NA,NA
2022,6,30,430,430,NA,NA
2022,7,7,390,390,NA,NA
2022,7,14,416,438.749999999408,340.283919658351,537.216080340466
2022,7,21,349,487.499999998817,348.247933746775,626.752066250859
2022,7,28,265,536.249999998225,365.701746025355,706.798253971096
2022,8,4,301,584.999999997633,388.067839315519,781.932160679748
