"year","month","day","data","median","LB","UB"
2022,6,16,268,268,NA,NA
2022,6,23,491,491,NA,NA
2022,6,30,1035,1035,NA,NA
2022,7,7,1701,1701,NA,NA
2022,7,14,2269,2269,NA,NA
2022,7,21,2709,2709,NA,NA
2022,7,28,3172,3172,NA,NA
2022,8,4,3066,3066,NA,NA
2022,8,11,2621,2621,NA,NA
2022,8,18,2441,2915.1249999994,2160.74839094294,3669.50160905585
2022,8,25,1919,3209.24999999879,2142.40036833412,4276.09963166346
2022,9,1,1714,3503.37499999819,2196.75638507087,4809.9936149255
2022,9,8,1352,3797.49999999758,2288.74678188466,5306.2532181105
