"year","month","day","data","median","LB","UB"
2022,6,9,203,203,NA,NA
2022,6,16,269,269,NA,NA
2022,6,23,283,283,NA,NA
2022,6,30,275,275,NA,NA
2022,7,7,384,384,NA,NA
2022,7,14,402,402,NA,NA
2022,7,21,295,295,NA,NA
2022,7,28,327,327,NA,NA
2022,8,4,258,258,NA,NA
2022,8,11,38,299.555555554445,177.037772971459,422.073338137431
2022,8,18,285,299.555555554445,177.037772971459,422.073338137431
2022,8,25,73,299.555555554445,177.037772971459,422.073338137431
2022,9,1,71,299.555555554445,177.037772971459,422.073338137431
