"year","month","day","data","median","LB","UB"
2022,5,5,6,6,6,6
2022,5,12,14,7.09174550293794,0,44.0364651970486
2022,5,19,14,14.7099114116822,0,51.1806735467811
2022,5,26,34,30.0481057946578,0,67.0274510878947
2022,6,2,82,63.0357671058364,25.8447291219413,99.9580584248686
2022,6,9,149,128.573824075603,89.2031549169882,168.91281146314
2022,6,16,268,258.475801915337,217.213333784987,301.381217219348
2022,6,23,491,517.775235108545,474.314340320887,562.66061387737
2022,6,30,1035,1026.98312869486,976.69747496547,1078.06963306959
2022,7,7,1701,2022.93219459469,1837.92599605241,2183.247927523
2022,7,14,2269,3934.38574250962,3350.33146162271,4504.99580938725
2022,7,21,2709,7592.29948048731,5974.25137412962,9286.69485325838
2022,7,28,3172,14515.1619739959,10493.775319166,19178.6435028892
