"year","month","day","data","median","LB","UB"
2022,6,16,86,86,86,86
2022,6,23,197,175.068222042776,0,513.982321748258
2022,6,30,303,385.629507968387,34.3796275316124,747.929376426676
2022,7,7,767,756.968533870019,376.528607494118,1129.15293425176
2022,7,14,1116,1315.98432173412,931.821611794969,1703.35426115008
2022,7,21,2315,2026.71174359441,1639.64512627256,2424.49060773585
2022,7,28,2613,2739.11613669515,2335.02137347925,3144.69967883988
2022,8,4,3215,3224.9757502855,2822.60269184919,3642.84478302459
2022,8,11,3324,3302.65570093357,2841.62628582393,3755.4252681791
2022,8,18,2916,2959.30375522993,2268.3005363941,3800.5906740549
2022,8,25,2386,2361.46945183817,1506.81146250226,3694.28590820071
2022,9,1,2153,1716.56074464354,861.785762867529,3430.80204147315
2022,9,8,1453,1187.11977014357,427.066157321432,2964.03391506111
